INFO 2025-01-12 10:10:45,775 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,081 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,101 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,119 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,148 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,179 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:02,206 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-12 10:14:27,554 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-12 10:16:30,165 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/screenshot.png api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-12 10:16:55,120 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-12 10:17:03,782 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/screenshot.png api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-12 10:25:50,186 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/screenshot.png api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-13 20:06:50,564 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-13 20:06:52,780 NE_RS_UNBLDRE: Unable to load application resource file /resources/js/NeutralinoMenuBar.min.js api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-13 20:13:25,488 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:15:32,307 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:31:03,809 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:31:03,839 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:31:03,905 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:31:03,928 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:31:03,937 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:32:24,617 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:33:45,015 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:40:17,400 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 20:42:59,201 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 21:44:30,152 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-13 21:44:30,210 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-13 21:53:12,466 NE_RS_UNBLDRE: Unable to load application resource file /resources/js/svelte-i18next/index.html api\debug\debug.cpp:20 StXh@STXHNEC
